List,rest,List
Reference,directors,PersonList
InCollection,collection,Collection
Reference,contract,Thing
Reference,editor,PersonList
Reference,humanCreator,PersonList
InProceedings,proceedings,Proceedings
InBook,book,Monograph
Reference,author,PersonList
Academic,copyright,string
MastersThesis,copyright,string
MotionPicture,copyright,string
Report,copyright,string
PhdThesis,copyright,string
InProceedings,copyright,string
InBook,copyright,string
Misc,copyright,string
TechReport,copyright,string
Informal,copyright,string
Article,copyright,string
Monograph,copyright,string
Deliverable,copyright,string
Proceedings,copyright,string
InCollection,copyright,string
Book,copyright,string
Part,copyright,string
Unpublished,copyright,string
LectureNotes,copyright,string
Manual,copyright,string
Chapter,copyright,string
Booklet,copyright,string
Collection,copyright,string
Academic,affiliation,string
MastersThesis,affiliation,string
MotionPicture,affiliation,string
Report,affiliation,string
PhdThesis,affiliation,string
InProceedings,affiliation,string
InBook,affiliation,string
Misc,affiliation,string
TechReport,affiliation,string
Informal,affiliation,string
Article,affiliation,string
Monograph,affiliation,string
Deliverable,affiliation,string
Proceedings,affiliation,string
InCollection,affiliation,string
Book,affiliation,string
Part,affiliation,string
Unpublished,affiliation,string
LectureNotes,affiliation,string
Manual,affiliation,string
Chapter,affiliation,string
Booklet,affiliation,string
Collection,affiliation,string
Academic,mrNumber,string
MastersThesis,mrNumber,string
MotionPicture,mrNumber,string
Report,mrNumber,string
PhdThesis,mrNumber,string
InProceedings,mrNumber,string
InBook,mrNumber,string
Misc,mrNumber,string
TechReport,mrNumber,string
Informal,mrNumber,string
Article,mrNumber,string
Monograph,mrNumber,string
Deliverable,mrNumber,string
Proceedings,mrNumber,string
InCollection,mrNumber,string
Book,mrNumber,string
Part,mrNumber,string
Unpublished,mrNumber,string
LectureNotes,mrNumber,string
Manual,mrNumber,string
Chapter,mrNumber,string
Booklet,mrNumber,string
Collection,mrNumber,string
Academic,issue,string
MastersThesis,issue,string
MotionPicture,issue,string
Report,issue,string
PhdThesis,issue,string
InProceedings,issue,string
InBook,issue,string
Misc,issue,string
TechReport,issue,string
Informal,issue,string
Article,issue,string
Monograph,issue,string
Deliverable,issue,string
Proceedings,issue,string
InCollection,issue,string
Book,issue,string
Part,issue,string
Unpublished,issue,string
LectureNotes,issue,string
Manual,issue,string
Chapter,issue,string
Booklet,issue,string
Collection,issue,string
InCollection,chapter,string
InProceedings,chapter,string
InBook,chapter,string
Article,chapter,string
Chapter,chapter,string
Academic,keywords,string
MastersThesis,keywords,string
MotionPicture,keywords,string
Report,keywords,string
PhdThesis,keywords,string
InProceedings,keywords,string
InBook,keywords,string
Misc,keywords,string
TechReport,keywords,string
Informal,keywords,string
Article,keywords,string
Monograph,keywords,string
Deliverable,keywords,string
Proceedings,keywords,string
InCollection,keywords,string
Book,keywords,string
Part,keywords,string
Unpublished,keywords,string
LectureNotes,keywords,string
Manual,keywords,string
Chapter,keywords,string
Booklet,keywords,string
Collection,keywords,string
Academic,country,string
MastersThesis,country,string
MotionPicture,country,string
Report,country,string
PhdThesis,country,string
InProceedings,country,string
InBook,country,string
Misc,country,string
TechReport,country,string
Informal,country,string
Article,country,string
Monograph,country,string
Deliverable,country,string
Proceedings,country,string
InCollection,country,string
Book,country,string
Part,country,string
Unpublished,country,string
LectureNotes,country,string
Manual,country,string
Chapter,country,string
Booklet,country,string
Collection,country,string
MastersThesis,schoolName,string
PhdThesis,schoolName,string
Academic,lccn,string
MastersThesis,lccn,string
MotionPicture,lccn,string
Report,lccn,string
PhdThesis,lccn,string
InProceedings,lccn,string
InBook,lccn,string
Misc,lccn,string
TechReport,lccn,string
Informal,lccn,string
Article,lccn,string
Monograph,lccn,string
Deliverable,lccn,string
Proceedings,lccn,string
InCollection,lccn,string
Book,lccn,string
Part,lccn,string
Unpublished,lccn,string
LectureNotes,lccn,string
Manual,lccn,string
Chapter,lccn,string
Booklet,lccn,string
Collection,lccn,string
Academic,startPage,nonNegativeInteger
MastersThesis,startPage,nonNegativeInteger
MotionPicture,startPage,nonNegativeInteger
Report,startPage,nonNegativeInteger
PhdThesis,startPage,nonNegativeInteger
InProceedings,startPage,nonNegativeInteger
InBook,startPage,nonNegativeInteger
Misc,startPage,nonNegativeInteger
TechReport,startPage,nonNegativeInteger
Informal,startPage,nonNegativeInteger
Article,startPage,nonNegativeInteger
Monograph,startPage,nonNegativeInteger
Deliverable,startPage,nonNegativeInteger
Proceedings,startPage,nonNegativeInteger
InCollection,startPage,nonNegativeInteger
Book,startPage,nonNegativeInteger
Part,startPage,nonNegativeInteger
Unpublished,startPage,nonNegativeInteger
LectureNotes,startPage,nonNegativeInteger
Manual,startPage,nonNegativeInteger
Chapter,startPage,nonNegativeInteger
Booklet,startPage,nonNegativeInteger
Collection,startPage,nonNegativeInteger
Academic,note,string
MastersThesis,note,string
MotionPicture,note,string
Report,note,string
PhdThesis,note,string
InProceedings,note,string
InBook,note,string
Misc,note,string
TechReport,note,string
Informal,note,string
Article,note,string
Monograph,note,string
Deliverable,note,string
Proceedings,note,string
InCollection,note,string
Book,note,string
Part,note,string
Unpublished,note,string
LectureNotes,note,string
Manual,note,string
Chapter,note,string
Booklet,note,string
Collection,note,string
Academic,endPage,nonNegativeInteger
MastersThesis,endPage,nonNegativeInteger
MotionPicture,endPage,nonNegativeInteger
Report,endPage,nonNegativeInteger
PhdThesis,endPage,nonNegativeInteger
InProceedings,endPage,nonNegativeInteger
InBook,endPage,nonNegativeInteger
Misc,endPage,nonNegativeInteger
TechReport,endPage,nonNegativeInteger
Informal,endPage,nonNegativeInteger
Article,endPage,nonNegativeInteger
Monograph,endPage,nonNegativeInteger
Deliverable,endPage,nonNegativeInteger
Proceedings,endPage,nonNegativeInteger
InCollection,endPage,nonNegativeInteger
Book,endPage,nonNegativeInteger
Part,endPage,nonNegativeInteger
Unpublished,endPage,nonNegativeInteger
LectureNotes,endPage,nonNegativeInteger
Manual,endPage,nonNegativeInteger
Chapter,endPage,nonNegativeInteger
Booklet,endPage,nonNegativeInteger
Collection,endPage,nonNegativeInteger
Academic,abstract,string
MastersThesis,abstract,string
MotionPicture,abstract,string
Report,abstract,string
PhdThesis,abstract,string
InProceedings,abstract,string
InBook,abstract,string
Misc,abstract,string
TechReport,abstract,string
Informal,abstract,string
Article,abstract,string
Monograph,abstract,string
Deliverable,abstract,string
Proceedings,abstract,string
InCollection,abstract,string
Book,abstract,string
Part,abstract,string
Unpublished,abstract,string
LectureNotes,abstract,string
Manual,abstract,string
Chapter,abstract,string
Booklet,abstract,string
Collection,abstract,string
Academic,year,gYear
MastersThesis,year,gYear
MotionPicture,year,gYear
Report,year,gYear
PhdThesis,year,gYear
InProceedings,year,gYear
InBook,year,gYear
Misc,year,gYear
TechReport,year,gYear
Informal,year,gYear
Article,year,gYear
Monograph,year,gYear
Deliverable,year,gYear
Proceedings,year,gYear
InCollection,year,gYear
Book,year,gYear
Part,year,gYear
Unpublished,year,gYear
LectureNotes,year,gYear
Manual,year,gYear
Chapter,year,gYear
Booklet,year,gYear
Collection,year,gYear
Academic,price,string
MastersThesis,price,string
MotionPicture,price,string
Report,price,string
PhdThesis,price,string
InProceedings,price,string
InBook,price,string
Misc,price,string
TechReport,price,string
Informal,price,string
Article,price,string
Monograph,price,string
Deliverable,price,string
Proceedings,price,string
InCollection,price,string
Book,price,string
Part,price,string
Unpublished,price,string
LectureNotes,price,string
Manual,price,string
Chapter,price,string
Booklet,price,string
Collection,price,string
Academic,city,string
MastersThesis,city,string
MotionPicture,city,string
Report,city,string
PhdThesis,city,string
InProceedings,city,string
InBook,city,string
Misc,city,string
TechReport,city,string
Informal,city,string
Article,city,string
Monograph,city,string
Deliverable,city,string
Proceedings,city,string
InCollection,city,string
Book,city,string
Part,city,string
Unpublished,city,string
LectureNotes,city,string
Manual,city,string
Chapter,city,string
Booklet,city,string
Collection,city,string
Academic,day,gDay
MastersThesis,day,gDay
MotionPicture,day,gDay
Report,day,gDay
PhdThesis,day,gDay
InProceedings,day,gDay
InBook,day,gDay
Misc,day,gDay
TechReport,day,gDay
Informal,day,gDay
Article,day,gDay
Monograph,day,gDay
Deliverable,day,gDay
Proceedings,day,gDay
InCollection,day,gDay
Book,day,gDay
Part,day,gDay
Unpublished,day,gDay
LectureNotes,day,gDay
Manual,day,gDay
Chapter,day,gDay
Booklet,day,gDay
Collection,day,gDay
