wnver::2.1
1740n 198523.228693433 ROOT
1930n 112790.713844439
2119n 85692.77125925
2236n 85691.77125925
2533n 4917.87985910289
2819n 1
2929n 1
3037n 1
3122n 66158.1310807811
3991n 23196.9390456589
4359n 32651.4452739254
4576n 32451.6595596397
5816n 1
5959n 1
6085n 11.5714285714286
6216n 1
6300n 185.214285714286
7127n 23863.2476315351
7626n 21913.645539183
15024n 4859.49335794924
16858n 5170.36654995331
18635n 3296.20716073141
19102n 14625.7963099723
20429n 1835.79963500552
20846n 19837.3234600191
21810n 136.336904761905
22007n 32053.1604625989
22178n 10815.4318604285
22680n 124.337932900433
23153n 17050.4218987485
23591n 8157.43731423805
25099n 1177.75434010434
26074n 8664.89468713572
26552n 1019.38815700005
26997n 762.666666666667
27378n 48.0416666666667
27734n 1
27841n 3.5
28105n 21112.3906692699
28404n 3224.65896304788
29085n 15932.0828629901
29714n 13636.5892903635
30334n 3605.98413947964
31026n 1542.59912018607
31236n 28.1428571428571
31433n 10187.3329872798
32028n 8787.30280506328
32604n 1433.43220092112
32870n 13.2435897435898
32965n 19.9666666666667
33168n 1
33330n 1
33580n 1613.77971799442
34088n 5
34282n 1
34452n 1.5
34733n 1
34896n 1343.30214287347
35417n 2
35501n 1
35611n 2.875
35807n 5087.05466837085
36532n 1
36619n 34.2788461538461
36930n 1
37220n 1
37378n 29.9761904761905
37568n 3
37654n 10.75
37902n 3.75
38097n 1
38273n 2
38347n 3
38509n 11.7261904761905
38777n 1
38902n 1
39161n 7.05952380952381
39319n 3.80952380952381
39545n 13.1666666666667
39825n 9.23529411764704
39971n 1
40097n 1
40256n 95.719536019536
40668n 82.1714285714285
40898n 6.42857142857143
41114n 85.5333333333334
41469n 1
41548n 323.136363636364
41944n 19.5833333333333
42237n 59.2952380952381
42485n 103.045512820513
42790n 13.731746031746
43008n 5
43235n 2
43449n 1
43585n 288.252174785998
43981n 2
44242n 34.9007936507937
44512n 38.4930555555556
44668n 30.0939393939394
44846n 129.667116217116
45342n 1
45430n 14
45680n 1
45874n 1
46069n 9.75
46265n 1
46375n 1.33333333333333
46549n 6.25
46698n 59.9858974358974
46980n 1.66666666666667
47152n 2.25
47327n 19.8
47668n 1
47854n 1.2
47960n 1.33333333333333
48113n 1
48233n 2
48361n 2.6
48519n 12.9679487179487
48808n 1.25
49017n 1.5
49211n 6.88461538461539
49401n 2
49516n 5.38461538461539
49709n 1
49849n 3.33333333333333
50036n 1
50221n 1
50376n 1
50470n 1
50658n 4.75
50824n 11.75
51115n 2
51344n 1
51421n 45.6666666666667
51729n 1
51849n 1
51933n 3
52130n 1
52236n 19.3666666666667
52585n 2
52740n 1.33333333333333
52909n 3.33333333333333
53126n 1
53315n 1
53403n 5.5
53721n 1
53881n 1
54020n 1
54175n 1
54399n 2
54639n 1
54776n 1
55000n 2.83333333333333
55250n 1
55394n 1.5
55574n 1.2
55763n 1.25
55854n 1
56110n 2
56355n 1
56445n 2
56627n 1.33333333333333
56716n 1
56851n 36.4930555555556
57235n 24
57484n 1.86666666666667
57660n 20.1333333333333
57836n 1.4
58003n 1
58097n 2.8125
58309n 2
58522n 1
58656n 1
58855n 1
58925n 1
59122n 1
59279n 1
59398n 4.25
59561n 1
59706n 10.5166666666667
59900n 1
60025n 1.66666666666667
60241n 3.85
60439n 1
60559n 4
60779n 1
60914n 153.620145785587
61122n 13.75
61418n 1
61667n 3
61760n 130.32847911892
62126n 6
62259n 1
62459n 1.11111111111111
62574n 14.3396825396825
62859n 14.0333333333333
63149n 1
63267n 1.33333333333333
63387n 1
63469n 1
63626n 5.5798319327731
63906n 6.875
64126n 4
64267n 211.876767676768
64448n 18.1904761904762
64687n 112.401984126984
64952n 1
65204n 1
65305n 1.85
65448n 1.25
65559n 11.8472222222222
65701n 7
65976n 2.33333333333333
66156n 2.16666666666667
66319n 3
66603n 1
66741n 3
66887n 10.3333333333333
67046n 1
67159n 8
67430n 1
67590n 1
67671n 1
67801n 1
67904n 1
68063n 1
68201n 1
68349n 1
68448n 1
68627n 3
68775n 1
68933n 81.3497835497836
69514n 1
69668n 1
69832n 1
70036n 2.71428571428571
70229n 9.23571428571429
70441n 2.2
70659n 1
70776n 5.5
71000n 1.5
71145n 1
71493n 1
71681n 1.5
71796n 2.86666666666667
72060n 1
72292n 1
72492n 2
72592n 20.1904761904762
72758n 24.6426406926407
73251n 1
73402n 3.25
73549n 1
73721n 1.45454545454545
73843n 3
74003n 1
74127n 1.86666666666667
74254n 1
74324n 1
74494n 6.07142857142857
74815n 11.25
75100n 1
75180n 1
75350n 46.3584249084249
75787n 1
75912n 1.33333333333333
76130n 1
76306n 2
76413n 1
76698n 1
76895n 16.4166666666667
77089n 1
77275n 6
77480n 1
77629n 1
77785n 1
77973n 1
78119n 1
78351n 1
78496n 1
78620n 7.3076923076923
78845n 69
79051n 1.25
79272n 1
79449n 10.6666666666667
79713n 7.66666666666667
79958n 1.66666666666667
80100n 1
80224n 1
80402n 1.42857142857143
80631n 1.2
80747n 3.28571428571429
81137n 7.84821428571428
81325n 4.5625
81462n 3.25
81606n 2
81852n 24.5
82015n 4.83333333333333
82286n 1
82539n 1
82685n 1
82863n 15.75
83076n 1
83322n 2
83473n 1
83784n 1
83941n 2
84191n 1
84298n 8
84453n 3.83333333333333
84773n 1.33333333333333
84918n 1.91666666666667
85123n 11.0416666666667
85363n 7.66666666666667
85549n 1
85854n 1
86067n 1
