List,rest,List
MotionPicture,directors,PersonList
Reference,editor,PersonList
Thing,address,Address
Proceedings,communications,InProceedings
Part,pages,PageRange
Conference,organizer,Organization
Reference,parts,Part
Reference,location,Address
Conference,location,Address
Report,institution,Institution
Reference,chapters,Chapter
Reference,author,PersonList
Reference,humanCreator,PersonList
Part,book,Monograph
Journal,articles,Article
Part,collection,Collection
Reference,contract,Thing
Academic,school,School
LectureNotes,school,School
Proceedings,event,Conference
Reference,publisher,Publisher
Journal,publisher,Publisher
Part,proceedings,Proceedings
Article,journal,Journal
Reference,date,Date
Conference,date,Date
Proceedings,organization,Organization
Manual,organization,Organization
