List,rest,List
MotionPicture,directors,PersonList
Reference,editor,PersonList
Thing,address,Address
Proceedings,communications,InProceedings
Part,pages,PageRange
Conference,organizer,Organization
Reference,parts,Part
Reference,location,Address
Conference,location,Address
Report,institution,Institution
Reference,chapters,Chapter
Reference,author,PersonList
Reference,humanCreator,PersonList
Part,book,Monograph
Journal,articles,Article
Part,collection,Collection
Reference,contract,Thing
Academic,school,School
LectureNotes,school,School
Proceedings,event,Conference
Reference,publisher,Publisher
Journal,publisher,Publisher
Part,proceedings,Proceedings
Article,journal,Journal
Reference,date,Date
Conference,date,Date
Proceedings,organization,Organization
Manual,organization,Organization
Unpublished,lccn,string
Article,lccn,string
Monograph,lccn,string
Booklet,lccn,string
Chapter,lccn,string
LectureNotes,lccn,string
TechReport,lccn,string
Misc,lccn,string
Proceedings,lccn,string
PhdThesis,lccn,string
InBook,lccn,string
InProceedings,lccn,string
Deliverable,lccn,string
Collection,lccn,string
Manual,lccn,string
MastersThesis,lccn,string
Book,lccn,string
MotionPicture,lccn,string
Part,lccn,string
Informal,lccn,string
Academic,lccn,string
Report,lccn,string
InCollection,lccn,string
Unpublished,issn,string
Article,issn,string
Monograph,issn,string
Booklet,issn,string
Chapter,issn,string
LectureNotes,issn,string
TechReport,issn,string
Misc,issn,string
Proceedings,issn,string
PhdThesis,issn,string
InBook,issn,string
InProceedings,issn,string
Deliverable,issn,string
Collection,issn,string
Manual,issn,string
MastersThesis,issn,string
Book,issn,string
MotionPicture,issn,string
Part,issn,string
Informal,issn,string
Academic,issn,string
Report,issn,string
InCollection,issn,string
Unpublished,size,string
Article,size,string
Monograph,size,string
Booklet,size,string
Chapter,size,string
LectureNotes,size,string
TechReport,size,string
Misc,size,string
Proceedings,size,string
PhdThesis,size,string
InBook,size,string
InProceedings,size,string
Deliverable,size,string
Collection,size,string
Manual,size,string
MastersThesis,size,string
Book,size,string
MotionPicture,size,string
Part,size,string
Informal,size,string
Academic,size,string
Report,size,string
InCollection,size,string
Unpublished,note,string
Article,note,string
Monograph,note,string
Booklet,note,string
Chapter,note,string
LectureNotes,note,string
TechReport,note,string
Misc,note,string
Proceedings,note,string
PhdThesis,note,string
InBook,note,string
InProceedings,note,string
Deliverable,note,string
Collection,note,string
Manual,note,string
MastersThesis,note,string
Book,note,string
MotionPicture,note,string
Part,note,string
Informal,note,string
Academic,note,string
Report,note,string
InCollection,note,string
Unpublished,volume,nonNegativeInteger
Article,volume,nonNegativeInteger
Monograph,volume,nonNegativeInteger
Booklet,volume,nonNegativeInteger
Chapter,volume,nonNegativeInteger
LectureNotes,volume,nonNegativeInteger
TechReport,volume,nonNegativeInteger
Misc,volume,nonNegativeInteger
Proceedings,volume,nonNegativeInteger
PhdThesis,volume,nonNegativeInteger
InBook,volume,nonNegativeInteger
InProceedings,volume,nonNegativeInteger
Deliverable,volume,nonNegativeInteger
Collection,volume,nonNegativeInteger
Manual,volume,nonNegativeInteger
MastersThesis,volume,nonNegativeInteger
Book,volume,nonNegativeInteger
MotionPicture,volume,nonNegativeInteger
Part,volume,nonNegativeInteger
Informal,volume,nonNegativeInteger
Academic,volume,nonNegativeInteger
Report,volume,nonNegativeInteger
InCollection,volume,nonNegativeInteger
Unpublished,affiliation,string
Article,affiliation,string
Monograph,affiliation,string
Booklet,affiliation,string
Chapter,affiliation,string
LectureNotes,affiliation,string
TechReport,affiliation,string
Misc,affiliation,string
Proceedings,affiliation,string
PhdThesis,affiliation,string
InBook,affiliation,string
InProceedings,affiliation,string
Deliverable,affiliation,string
Collection,affiliation,string
Manual,affiliation,string
MastersThesis,affiliation,string
Book,affiliation,string
MotionPicture,affiliation,string
Part,affiliation,string
Informal,affiliation,string
Academic,affiliation,string
Report,affiliation,string
InCollection,affiliation,string
Unpublished,isbn,string
Article,isbn,string
Monograph,isbn,string
Booklet,isbn,string
Chapter,isbn,string
LectureNotes,isbn,string
TechReport,isbn,string
Misc,isbn,string
Proceedings,isbn,string
PhdThesis,isbn,string
InBook,isbn,string
InProceedings,isbn,string
Deliverable,isbn,string
Collection,isbn,string
Manual,isbn,string
MastersThesis,isbn,string
Book,isbn,string
MotionPicture,isbn,string
Part,isbn,string
Informal,isbn,string
Academic,isbn,string
Report,isbn,string
InCollection,isbn,string
Unpublished,series,string
Article,series,string
Monograph,series,string
Booklet,series,string
Chapter,series,string
LectureNotes,series,string
TechReport,series,string
Misc,series,string
Proceedings,series,string
PhdThesis,series,string
InBook,series,string
InProceedings,series,string
Deliverable,series,string
Collection,series,string
Manual,series,string
MastersThesis,series,string
Book,series,string
MotionPicture,series,string
Part,series,string
Informal,series,string
Academic,series,string
Report,series,string
InCollection,series,string
Unpublished,annote,string
Article,annote,string
Monograph,annote,string
Booklet,annote,string
Chapter,annote,string
LectureNotes,annote,string
TechReport,annote,string
Misc,annote,string
Proceedings,annote,string
PhdThesis,annote,string
InBook,annote,string
InProceedings,annote,string
Deliverable,annote,string
Collection,annote,string
Manual,annote,string
MastersThesis,annote,string
Book,annote,string
MotionPicture,annote,string
Part,annote,string
Informal,annote,string
Academic,annote,string
Report,annote,string
InCollection,annote,string
Unpublished,copyright,string
Article,copyright,string
Monograph,copyright,string
Booklet,copyright,string
Chapter,copyright,string
LectureNotes,copyright,string
TechReport,copyright,string
Misc,copyright,string
Proceedings,copyright,string
PhdThesis,copyright,string
InBook,copyright,string
InProceedings,copyright,string
Deliverable,copyright,string
Collection,copyright,string
Manual,copyright,string
MastersThesis,copyright,string
Book,copyright,string
MotionPicture,copyright,string
Part,copyright,string
Informal,copyright,string
Academic,copyright,string
Report,copyright,string
InCollection,copyright,string
Unpublished,abstract,string
Article,abstract,string
Monograph,abstract,string
Booklet,abstract,string
Chapter,abstract,string
LectureNotes,abstract,string
TechReport,abstract,string
Misc,abstract,string
Proceedings,abstract,string
PhdThesis,abstract,string
InBook,abstract,string
InProceedings,abstract,string
Deliverable,abstract,string
Collection,abstract,string
Manual,abstract,string
MastersThesis,abstract,string
Book,abstract,string
MotionPicture,abstract,string
Part,abstract,string
Informal,abstract,string
Academic,abstract,string
Report,abstract,string
InCollection,abstract,string
Unpublished,issue,string
Article,issue,string
Monograph,issue,string
Booklet,issue,string
Chapter,issue,string
LectureNotes,issue,string
TechReport,issue,string
Misc,issue,string
